,parental level of education_associate's degree,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_free/reduced,lunch_standard,test preparation course_completed,test preparation course_none,math score,reading score,writing score
36,True,False,False,False,False,False,False,True,False,True,74,81,83
37,False,False,False,False,False,True,True,False,False,True,50,64,59
38,True,False,False,False,False,False,True,False,True,False,75,90,88
39,True,False,False,False,False,False,True,False,False,True,57,56,57
40,True,False,False,False,False,False,True,False,False,True,55,61,54
41,True,False,False,False,False,False,False,True,False,True,58,73,68
42,True,False,False,False,False,False,False,True,False,True,53,58,65
43,False,False,False,False,True,False,True,False,True,False,59,65,66
44,True,False,False,False,False,False,True,False,False,True,50,56,54
45,True,False,False,False,False,False,False,True,False,True,65,54,57
46,True,False,False,False,False,False,False,True,True,False,55,65,62
47,False,False,True,False,False,False,False,True,False,True,66,71,76
48,True,False,False,False,False,False,True,False,True,False,57,74,76
49,False,False,True,False,False,False,False,True,True,False,82,84,82
50,False,False,False,False,True,False,False,True,False,True,53,55,48
51,True,False,False,False,False,False,True,False,True,False,77,69,68
52,False,False,False,False,True,False,False,True,False,True,53,44,42
53,False,False,True,False,False,False,False,True,False,True,88,78,75
54,False,False,False,False,False,True,True,False,True,False,71,84,87
55,False,False,True,False,False,False,True,False,False,True,33,41,43
56,True,False,False,False,False,False,False,True,True,False,82,85,86
57,True,False,False,False,False,False,False,True,False,True,52,55,49
58,False,False,False,False,True,False,False,True,True,False,58,59,58
59,False,False,False,False,False,True,True,False,False,True,0,17,10
60,False,True,False,False,False,False,True,False,True,False,79,74,72
61,False,False,False,False,False,True,True,False,False,True,39,39,34
62,True,False,False,False,False,False,True,False,False,True,62,61,55
63,True,False,False,False,False,False,False,True,False,True,69,80,71
64,False,False,False,False,False,True,False,True,False,True,59,58,59
65,False,False,False,False,False,True,False,True,False,True,67,64,61
66,False,False,False,False,False,True,True,False,False,True,45,37,37
67,False,False,False,False,True,False,False,True,False,True,60,72,74
68,True,False,False,False,False,False,True,False,False,True,61,58,56
69,True,False,False,False,False,False,False,True,False,True,39,64,57
70,False,False,False,False,True,False,True,False,True,False,58,63,73
71,False,False,False,False,True,False,False,True,True,False,63,55,63
72,True,False,False,False,False,False,True,False,False,True,41,51,48
73,False,False,False,False,False,True,True,False,False,True,61,57,56
74,False,False,False,False,False,True,False,True,False,True,49,49,41
75,True,False,False,False,False,False,True,False,False,True,44,41,38
76,False,False,False,False,False,True,False,True,False,True,30,26,22
77,False,True,False,False,False,False,False,True,True,False,80,78,81
78,False,False,False,False,False,True,False,True,True,False,61,74,72
79,False,False,False,True,False,False,False,True,False,True,62,68,68
80,True,False,False,False,False,False,False,True,False,True,47,49,50
81,False,False,True,False,False,False,True,False,False,True,49,45,45
82,False,False,False,False,True,False,True,False,True,False,50,47,54
83,True,False,False,False,False,False,False,True,False,True,72,64,63
84,False,False,True,False,False,False,True,False,False,True,42,39,34
85,False,False,False,False,True,False,False,True,False,True,73,80,82
86,False,False,False,False,True,False,True,False,False,True,76,83,88
87,True,False,False,False,False,False,False,True,False,True,71,71,74
88,False,False,False,False,True,False,False,True,False,True,58,70,67
89,False,False,False,False,False,True,False,True,False,True,73,86,82
90,False,True,False,False,False,False,False,True,False,True,65,72,74
91,False,False,True,False,False,False,True,False,False,True,27,34,36
92,False,False,True,False,False,False,False,True,False,True,71,79,71
93,True,False,False,False,False,False,True,False,True,False,43,45,50
94,False,False,False,False,True,False,False,True,False,True,79,86,92
95,True,False,False,False,False,False,True,False,True,False,78,81,82
96,False,False,False,False,False,True,False,True,True,False,65,66,62
97,False,False,False,False,True,False,False,True,True,False,63,72,70
98,False,False,False,False,True,False,True,False,False,True,58,67,62
99,False,True,False,False,False,False,False,True,False,True,65,67,62
100,False,False,False,False,True,False,False,True,False,True,79,67,67
101,False,True,False,False,False,False,False,True,True,False,68,74,74
102,True,False,False,False,False,False,False,True,False,True,85,91,89
103,False,False,True,False,False,False,False,True,True,False,60,44,47
104,False,False,False,False,True,False,False,True,True,False,98,86,90
105,False,False,False,False,True,False,False,True,False,True,58,67,72
106,False,False,False,True,False,False,False,True,False,True,87,100,100
107,True,False,False,False,False,False,False,True,True,False,66,63,64
108,True,False,False,False,False,False,True,False,False,True,52,76,70
109,False,False,False,False,False,True,False,True,False,True,70,64,72
110,True,False,False,False,False,False,True,False,True,False,77,89,98
111,False,False,True,False,False,False,False,True,False,True,62,55,49
112,True,False,False,False,False,False,False,True,False,True,54,53,47
113,False,False,False,False,True,False,False,True,False,True,51,58,54
114,False,True,False,False,False,False,False,True,True,False,99,100,100
115,False,False,True,False,False,False,False,True,False,True,84,77,74
116,False,True,False,False,False,False,True,False,False,True,75,85,82
117,False,True,False,False,False,False,False,True,False,True,78,82,79
118,False,False,False,False,False,True,False,True,False,True,51,63,61
119,False,False,False,False,True,False,False,True,False,True,55,69,65
120,False,True,False,False,False,False,False,True,True,False,79,92,89
121,True,False,False,False,False,False,False,True,True,False,91,89,92
122,False,False,False,False,True,False,False,True,True,False,88,93,93
123,False,False,True,False,False,False,True,False,False,True,63,57,56
124,False,False,False,False,True,False,False,True,False,True,83,80,73
125,False,False,True,False,False,False,False,True,False,True,87,95,86
126,False,False,False,False,False,True,False,True,False,True,72,68,67
127,False,False,False,False,True,False,False,True,True,False,65,77,74
128,False,False,False,True,False,False,False,True,False,True,82,82,74
129,False,True,False,False,False,False,False,True,False,True,51,49,51
130,False,False,False,True,False,False,False,True,False,True,89,84,82
131,False,False,False,False,False,True,True,False,True,False,53,37,40
132,False,False,False,False,True,False,True,False,True,False,87,74,70
133,False,False,False,False,True,False,False,True,True,False,75,81,84
134,False,True,False,False,False,False,True,False,True,False,74,79,75
135,False,True,False,False,False,False,False,True,False,True,58,55,48
136,False,False,False,False,False,True,False,True,True,False,51,54,41
137,False,False,True,False,False,False,False,True,False,True,70,55,56
138,True,False,False,False,False,False,False,True,False,True,59,66,67
139,False,False,False,False,True,False,False,True,True,False,71,61,69
140,False,False,False,False,False,True,False,True,False,True,76,72,71
141,False,False,False,False,True,False,True,False,False,True,59,62,64
142,False,False,False,False,True,False,True,False,True,False,42,55,54
143,False,False,True,False,False,False,False,True,False,True,57,43,47
144,False,False,False,False,True,False,False,True,False,True,88,73,78
145,False,False,False,False,True,False,True,False,False,True,22,39,33
146,False,False,False,False,False,True,False,True,False,True,88,84,75
147,True,False,False,False,False,False,True,False,False,True,73,68,66
148,False,True,False,False,False,False,False,True,True,False,68,75,81
149,True,False,False,False,False,False,True,False,True,False,100,100,93
150,False,False,False,False,False,True,False,True,True,False,62,67,69
151,False,True,False,False,False,False,False,True,False,True,77,67,68
152,True,False,False,False,False,False,False,True,True,False,59,70,66
153,False,True,False,False,False,False,False,True,False,True,54,49,47
154,False,False,False,False,False,True,False,True,False,True,62,67,61
155,False,False,False,False,True,False,False,True,True,False,70,89,88
156,False,False,True,False,False,False,True,False,True,False,66,74,78
157,False,False,False,False,True,False,True,False,False,True,60,60,60
158,True,False,False,False,False,False,False,True,True,False,61,86,87
159,True,False,False,False,False,False,True,False,False,True,66,62,64
160,True,False,False,False,False,False,True,False,True,False,82,78,74
161,False,False,False,False,True,False,True,False,True,False,75,88,85
162,False,False,False,True,False,False,True,False,False,True,49,53,52
163,False,False,True,False,False,False,False,True,False,True,52,53,49
164,False,False,False,True,False,False,False,True,False,True,81,92,91
165,False,True,False,False,False,False,False,True,True,False,96,100,100
166,False,False,True,False,False,False,True,False,True,False,53,51,51
167,False,False,False,True,False,False,True,False,True,False,58,76,78
168,False,False,True,False,False,False,False,True,True,False,68,83,78
169,False,False,False,False,True,False,True,False,True,False,67,75,70
170,False,False,True,False,False,False,False,True,True,False,72,73,74
171,False,False,False,False,False,True,False,True,False,True,94,88,78
172,False,False,False,False,True,False,False,True,False,True,79,86,81
173,True,False,False,False,False,False,False,True,False,True,63,67,70
174,False,True,False,False,False,False,True,False,True,False,43,51,54
175,False,False,False,True,False,False,False,True,True,False,81,91,87
176,False,False,True,False,False,False,True,False,True,False,46,54,58
177,True,False,False,False,False,False,False,True,True,False,71,77,77
178,False,False,False,True,False,False,True,False,True,False,52,70,62
179,False,False,False,False,False,True,False,True,True,False,97,100,100
180,False,False,False,True,False,False,True,False,True,False,62,68,75
181,False,False,False,False,True,False,True,False,False,True,46,64,66
182,False,False,True,False,False,False,False,True,False,True,50,50,47
183,True,False,False,False,False,False,False,True,False,True,65,69,70
184,False,False,False,False,False,True,True,False,True,False,45,52,49
185,True,False,False,False,False,False,True,False,True,False,65,67,65
186,False,False,True,False,False,False,False,True,False,True,80,76,65
187,False,False,False,False,False,True,False,True,True,False,62,66,68
188,False,False,False,False,False,True,True,False,False,True,48,52,45
189,False,True,False,False,False,False,False,True,False,True,77,88,87
190,True,False,False,False,False,False,False,True,False,True,66,65,69
191,False,False,False,False,True,False,False,True,True,False,76,83,79
192,False,False,False,False,False,True,False,True,False,True,62,64,66
193,False,False,False,False,True,False,False,True,True,False,77,62,62
194,False,False,False,True,False,False,False,True,True,False,69,84,85
195,True,False,False,False,False,False,False,True,False,True,61,55,52
196,False,False,False,False,False,True,True,False,True,False,59,69,65
197,False,False,True,False,False,False,True,False,False,True,55,56,51
198,False,False,False,False,True,False,True,False,False,True,45,53,55
199,False,True,False,False,False,False,True,False,False,True,78,79,76
200,True,False,False,False,False,False,False,True,True,False,67,84,86
201,False,False,False,False,True,False,True,False,False,True,65,81,77
202,True,False,False,False,False,False,False,True,False,True,69,77,69
203,True,False,False,False,False,False,False,True,False,True,57,69,68
204,False,False,False,False,True,False,False,True,False,True,59,41,42
205,False,False,False,False,False,True,False,True,True,False,74,71,78
206,False,True,False,False,False,False,False,True,False,True,82,62,62
207,False,False,True,False,False,False,False,True,True,False,81,80,76
208,False,False,False,False,True,False,True,False,False,True,74,81,76
209,False,False,False,False,True,False,True,False,False,True,58,61,66
210,False,False,False,False,False,True,True,False,True,False,80,79,79
211,False,False,False,False,True,False,True,False,False,True,35,28,27
212,False,False,True,False,False,False,True,False,False,True,42,62,60
213,True,False,False,False,False,False,True,False,True,False,60,51,56
214,False,False,True,False,False,False,False,True,True,False,87,91,81
215,False,False,False,False,False,True,False,True,True,False,84,83,75
216,True,False,False,False,False,False,True,False,True,False,83,86,88
217,False,False,True,False,False,False,True,False,False,True,34,42,39
218,False,False,True,False,False,False,True,False,False,True,66,77,70
219,False,False,False,False,False,True,False,True,True,False,61,56,56
220,False,False,True,False,False,False,False,True,True,False,56,68,74
221,True,False,False,False,False,False,False,True,False,True,87,85,73
222,False,False,False,False,False,True,True,False,False,True,55,65,62
223,False,False,False,False,False,True,False,True,False,True,86,80,75
224,True,False,False,False,False,False,False,True,True,False,52,66,73
225,False,False,False,True,False,False,True,False,False,True,45,56,54
226,False,False,False,False,True,False,False,True,False,True,72,72,71
227,False,False,True,False,False,False,False,True,False,True,57,50,54
228,False,False,False,False,False,True,True,False,False,True,68,72,64
229,False,False,False,False,True,False,False,True,True,False,88,95,94
230,False,False,False,False,True,False,False,True,False,True,76,64,66
231,True,False,False,False,False,False,False,True,False,True,46,43,42
232,False,True,False,False,False,False,False,True,False,True,67,86,83
233,False,False,False,False,False,True,False,True,False,True,92,87,78
234,False,True,False,False,False,False,False,True,True,False,83,82,84
235,True,False,False,False,False,False,False,True,False,True,80,75,77
236,False,True,False,False,False,False,True,False,False,True,63,66,67
237,False,False,False,False,False,True,False,True,True,False,64,60,74
238,False,False,False,False,True,False,False,True,False,True,54,52,51
239,True,False,False,False,False,False,False,True,False,True,84,80,80
240,False,False,True,False,False,False,True,False,True,False,73,68,66
241,False,True,False,False,False,False,False,True,False,True,80,83,83
242,False,False,True,False,False,False,False,True,False,True,56,52,55
243,False,False,False,False,True,False,False,True,False,True,59,51,43
244,False,False,False,False,False,True,False,True,False,True,75,74,69
245,True,False,False,False,False,False,False,True,False,True,85,76,71
246,True,False,False,False,False,False,False,True,False,True,89,76,74
247,False,False,True,False,False,False,False,True,True,False,58,70,68
248,False,False,True,False,False,False,False,True,False,True,65,64,62
249,False,False,True,False,False,False,False,True,False,True,68,60,53
250,False,False,False,False,False,True,False,True,True,False,47,49,49
251,False,False,False,False,True,False,True,False,False,True,71,83,83
252,False,False,False,False,False,True,False,True,True,False,60,70,70
253,False,False,False,True,False,False,False,True,False,True,80,80,72
254,False,False,True,False,False,False,False,True,False,True,54,52,52
255,False,False,False,False,True,False,False,True,False,True,62,73,70
256,True,False,False,False,False,False,True,False,False,True,64,73,68
257,True,False,False,False,False,False,False,True,True,False,78,77,77
258,False,False,False,False,True,False,False,True,False,True,70,75,78
259,False,False,False,True,False,False,True,False,True,False,65,81,81
260,False,False,False,False,False,True,True,False,True,False,64,79,77
261,False,False,False,False,True,False,False,True,True,False,79,79,78
262,False,False,False,False,False,True,True,False,False,True,44,50,51
263,False,False,True,False,False,False,False,True,False,True,99,93,90
264,False,False,True,False,False,False,False,True,False,True,76,73,68
265,False,False,False,False,False,True,True,False,False,True,59,42,41
266,False,True,False,False,False,False,False,True,False,True,63,75,81
267,False,False,True,False,False,False,False,True,False,True,69,72,77
268,True,False,False,False,False,False,False,True,True,False,88,92,95
269,False,False,False,False,True,False,True,False,False,True,71,76,70
270,False,True,False,False,False,False,False,True,False,True,69,63,61
271,False,False,False,False,True,False,False,True,False,True,58,49,42
272,True,False,False,False,False,False,True,False,False,True,47,53,58
273,False,False,False,False,True,False,False,True,False,True,65,70,71
274,False,False,False,False,True,False,False,True,True,False,88,85,76
275,False,True,False,False,False,False,False,True,False,True,83,78,73
276,False,False,False,False,False,True,False,True,True,False,85,92,93
277,False,False,True,False,False,False,False,True,True,False,59,63,75
278,False,False,False,False,False,True,True,False,False,True,65,86,80
279,False,True,False,False,False,False,True,False,False,True,73,56,57
280,False,False,True,False,False,False,False,True,False,True,53,52,42
281,False,False,True,False,False,False,False,True,False,True,45,48,46
282,False,True,False,False,False,False,True,False,False,True,73,79,84
283,False,False,False,False,True,False,True,False,True,False,70,78,78
284,False,False,False,False,False,True,False,True,False,True,37,46,46
285,True,False,False,False,False,False,False,True,True,False,81,82,82
286,True,False,False,False,False,False,False,True,True,False,97,82,88
287,False,False,False,False,False,True,False,True,False,True,67,89,82
288,False,True,False,False,False,False,True,False,False,True,88,75,76
289,False,False,False,False,False,True,False,True,True,False,77,76,77
290,True,False,False,False,False,False,False,True,False,True,76,70,68
291,False,False,False,False,False,True,False,True,False,True,86,73,70
292,False,False,False,False,False,True,False,True,True,False,63,60,57
293,False,True,False,False,False,False,False,True,False,True,65,73,75
294,False,False,True,False,False,False,True,False,True,False,78,77,80
295,True,False,False,False,False,False,True,False,False,True,67,62,60
296,False,False,False,False,False,True,False,True,True,False,46,41,43
297,True,False,False,False,False,False,False,True,True,False,71,74,68
298,False,False,True,False,False,False,True,False,True,False,40,46,50
299,True,False,False,False,False,False,True,False,False,True,90,87,75
300,False,False,False,False,True,False,True,False,True,False,81,78,81
301,False,False,False,False,False,True,True,False,False,True,56,54,52
302,True,False,False,False,False,False,False,True,True,False,67,84,81
303,True,False,False,False,False,False,False,True,False,True,80,76,64
304,True,False,False,False,False,False,False,True,True,False,74,75,83
305,False,False,False,False,True,False,False,True,False,True,69,67,69
306,False,False,False,False,True,False,False,True,True,False,99,87,81
307,False,False,False,False,False,True,False,True,False,True,51,52,44
308,True,False,False,False,False,False,True,False,False,True,53,71,67
309,False,False,True,False,False,False,True,False,False,True,49,57,52
310,True,False,False,False,False,False,False,True,False,True,73,76,80
311,False,True,False,False,False,False,False,True,False,True,66,60,57
312,False,True,False,False,False,False,False,True,True,False,67,61,68
313,True,False,False,False,False,False,True,False,True,False,68,67,69
314,False,True,False,False,False,False,False,True,True,False,59,64,75
315,False,False,True,False,False,False,False,True,False,True,71,66,65
316,False,False,False,True,False,False,False,True,True,False,77,82,91
317,True,False,False,False,False,False,False,True,False,True,83,72,78
318,False,True,False,False,False,False,False,True,False,True,63,71,69
319,True,False,False,False,False,False,True,False,False,True,56,65,63
320,False,False,True,False,False,False,True,False,True,False,67,79,84
321,False,False,True,False,False,False,False,True,False,True,75,86,79
322,False,False,False,False,True,False,False,True,False,True,71,81,80
323,False,False,False,False,False,True,True,False,False,True,43,53,53
324,False,False,True,False,False,False,True,False,False,True,41,46,43
325,False,False,False,False,True,False,False,True,False,True,82,90,94
326,False,False,False,False,True,False,False,True,False,True,61,61,62
327,False,False,False,False,True,False,True,False,False,True,28,23,19
328,True,False,False,False,False,False,False,True,True,False,82,75,77
329,False,False,False,False,False,True,False,True,False,True,41,55,51
330,False,False,True,False,False,False,False,True,False,True,71,60,61
331,True,False,False,False,False,False,False,True,False,True,47,37,35
332,True,False,False,False,False,False,False,True,True,False,62,56,53
333,True,False,False,False,False,False,False,True,False,True,90,78,81
334,False,True,False,False,False,False,False,True,False,True,83,93,95
335,False,False,False,False,True,False,True,False,False,True,61,68,66
336,False,False,False,False,False,True,False,True,True,False,76,70,69
337,True,False,False,False,False,False,False,True,False,True,49,51,43
338,False,False,False,False,False,True,True,False,False,True,24,38,27
339,False,False,False,False,False,True,True,False,True,False,35,55,60
340,False,False,True,False,False,False,True,False,False,True,58,61,52
341,False,False,True,False,False,False,False,True,False,True,61,73,63
342,False,False,True,False,False,False,False,True,True,False,69,76,74
343,True,False,False,False,False,False,False,True,True,False,67,72,67
344,False,False,False,False,True,False,False,True,False,True,79,73,67
345,False,False,True,False,False,False,False,True,False,True,72,80,75
346,False,False,False,False,True,False,False,True,False,True,62,61,57
347,False,True,False,False,False,False,False,True,True,False,77,94,95
348,False,False,True,False,False,False,True,False,False,True,75,74,66
349,True,False,False,False,False,False,False,True,False,True,87,74,76
350,False,True,False,False,False,False,False,True,False,True,52,65,69
351,False,False,False,False,True,False,False,True,False,True,66,57,52
352,False,False,False,False,True,False,False,True,True,False,63,78,80
353,True,False,False,False,False,False,False,True,False,True,46,58,57
354,False,False,False,False,True,False,False,True,False,True,59,71,70
355,False,True,False,False,False,False,False,True,False,True,61,72,70
356,True,False,False,False,False,False,False,True,False,True,63,61,61
357,False,False,False,False,True,False,True,False,True,False,42,66,69
358,False,False,False,False,True,False,True,False,False,True,59,62,61
359,False,False,False,False,True,False,False,True,False,True,80,90,89
360,False,False,True,False,False,False,False,True,False,True,58,62,59
361,False,False,False,False,False,True,False,True,True,False,85,84,78
362,False,False,False,False,True,False,False,True,False,True,52,58,58
363,False,False,False,False,False,True,True,False,False,True,27,34,32
364,False,False,False,False,True,False,False,True,False,True,59,60,58
365,False,True,False,False,False,False,True,False,True,False,49,58,60
366,False,False,True,False,False,False,False,True,True,False,69,58,53
367,False,True,False,False,False,False,True,False,False,True,61,66,61
368,False,False,False,False,False,True,True,False,False,True,44,64,58
369,False,False,False,False,False,True,False,True,False,True,73,84,85
370,False,False,False,False,True,False,False,True,False,True,84,77,71
371,False,False,False,False,True,False,True,False,True,False,45,73,70
372,False,False,False,False,False,True,False,True,False,True,74,74,72
373,False,False,False,False,True,False,False,True,True,False,82,97,96
374,False,True,False,False,False,False,False,True,False,True,59,70,73
375,True,False,False,False,False,False,True,False,False,True,46,43,41
376,False,False,False,False,False,True,False,True,False,True,80,90,82
377,False,False,False,True,False,False,True,False,True,False,85,95,100
378,False,False,False,False,False,True,False,True,False,True,71,83,77
379,False,True,False,False,False,False,False,True,False,True,66,64,62
380,True,False,False,False,False,False,False,True,False,True,80,86,83
381,True,False,False,False,False,False,False,True,True,False,87,100,95
382,False,False,False,True,False,False,True,False,False,True,79,81,71
383,False,False,False,False,False,True,True,False,False,True,38,49,45
384,False,False,False,False,False,True,True,False,False,True,38,43,43
385,False,False,False,False,True,False,False,True,False,True,67,76,75
386,False,True,False,False,False,False,False,True,False,True,64,73,70
387,True,False,False,False,False,False,True,False,False,True,57,78,67
388,False,False,True,False,False,False,False,True,False,True,62,64,64
389,False,False,False,True,False,False,False,True,False,True,73,70,75
390,False,False,False,False,False,True,True,False,True,False,73,67,59
391,False,False,False,False,True,False,False,True,False,True,77,68,77
392,False,False,False,False,True,False,False,True,False,True,76,67,67
393,True,False,False,False,False,False,False,True,True,False,57,54,56
394,False,False,False,False,False,True,False,True,True,False,65,74,77
395,False,False,True,False,False,False,True,False,False,True,48,45,41
396,False,False,True,False,False,False,True,False,False,True,50,67,63
397,True,False,False,False,False,False,False,True,False,True,85,89,95
398,False,False,False,False,False,True,False,True,False,True,74,63,57
399,False,False,False,False,False,True,False,True,False,True,60,59,54
400,False,False,False,False,False,True,False,True,True,False,59,54,67
401,False,False,False,False,True,False,False,True,False,True,53,43,43
402,False,False,False,False,True,False,True,False,False,True,49,65,55
403,False,False,True,False,False,False,False,True,True,False,88,99,100
404,False,False,True,False,False,False,False,True,False,True,54,59,62
405,False,False,False,False,False,True,False,True,False,True,63,73,68
406,True,False,False,False,False,False,False,True,True,False,65,65,63
407,True,False,False,False,False,False,False,True,False,True,82,80,77
408,False,False,True,False,False,False,True,False,True,False,52,57,56
409,True,False,False,False,False,False,False,True,True,False,87,84,85
410,False,False,False,True,False,False,False,True,True,False,70,71,74
411,False,False,False,False,True,False,False,True,True,False,84,83,78
412,True,False,False,False,False,False,False,True,False,True,71,66,60
413,False,False,False,False,False,True,False,True,True,False,63,67,67
414,False,True,False,False,False,False,True,False,True,False,51,72,79
415,False,False,True,False,False,False,False,True,False,True,84,73,69
416,False,True,False,False,False,False,False,True,True,False,71,74,68
417,True,False,False,False,False,False,False,True,False,True,74,73,67
418,False,False,False,False,True,False,False,True,False,True,68,59,62
419,False,False,True,False,False,False,True,False,True,False,57,56,54
420,True,False,False,False,False,False,True,False,True,False,82,93,93
421,False,False,True,False,False,False,False,True,True,False,57,58,64
422,False,False,False,True,False,False,True,False,True,False,47,58,67
423,False,False,False,False,False,True,False,True,True,False,59,85,80
424,False,False,False,False,True,False,True,False,False,True,41,39,34
425,False,False,False,False,True,False,True,False,False,True,62,67,62
426,False,True,False,False,False,False,False,True,False,True,86,83,86
427,False,False,False,False,False,True,True,False,False,True,69,71,65
428,False,False,False,False,False,True,True,False,False,True,65,59,53
429,False,False,False,False,False,True,True,False,False,True,68,63,54
430,True,False,False,False,False,False,True,False,False,True,64,66,59
431,False,False,True,False,False,False,False,True,False,True,61,72,70
432,False,False,True,False,False,False,False,True,False,True,61,56,55
433,False,False,False,False,False,True,True,False,False,True,47,59,50
434,False,False,False,False,False,True,False,True,False,True,73,66,66
435,False,False,False,False,True,False,True,False,True,False,50,48,53
436,True,False,False,False,False,False,False,True,False,True,75,68,64
437,True,False,False,False,False,False,True,False,False,True,75,66,73
438,False,False,True,False,False,False,False,True,False,True,70,56,51
439,False,False,False,False,False,True,False,True,True,False,89,88,82
440,False,False,False,False,True,False,False,True,True,False,67,81,79
441,False,False,True,False,False,False,False,True,False,True,78,81,80
442,False,False,False,False,False,True,True,False,False,True,59,73,69
443,True,False,False,False,False,False,False,True,False,True,73,83,76
444,False,False,False,False,False,True,True,False,False,True,79,82,73
445,False,False,False,False,False,True,False,True,True,False,67,74,77
446,False,False,False,False,True,False,True,False,False,True,69,66,60
447,False,False,True,False,False,False,False,True,True,False,86,81,80
448,False,False,True,False,False,False,False,True,False,True,47,46,42
449,True,False,False,False,False,False,False,True,False,True,81,73,72
450,False,False,False,False,True,False,True,False,True,False,64,85,85
451,False,False,False,False,True,False,False,True,False,True,100,92,97
452,True,False,False,False,False,False,True,False,False,True,65,77,74
453,False,False,False,False,True,False,True,False,False,True,65,58,49
454,True,False,False,False,False,False,True,False,False,True,53,61,62
455,False,True,False,False,False,False,True,False,False,True,37,56,47
456,False,True,False,False,False,False,False,True,False,True,79,89,89
457,True,False,False,False,False,False,True,False,False,True,53,54,48
458,False,True,False,False,False,False,False,True,False,True,100,100,100
459,False,False,True,False,False,False,False,True,True,False,72,65,68
460,False,True,False,False,False,False,True,False,False,True,53,58,55
461,False,False,False,False,True,False,True,False,False,True,54,54,45
462,False,False,False,False,True,False,False,True,False,True,71,70,76
463,False,False,False,False,True,False,True,False,False,True,77,90,91
464,False,True,False,False,False,False,False,True,True,False,75,58,62
465,False,False,False,False,True,False,False,True,False,True,84,87,91
466,True,False,False,False,False,False,True,False,False,True,26,31,38
467,False,False,True,False,False,False,True,False,True,False,72,67,65
468,False,False,True,False,False,False,True,False,True,False,77,88,85
469,False,False,False,False,True,False,False,True,False,True,91,74,76
470,True,False,False,False,False,False,False,True,True,False,83,85,90
471,False,False,True,False,False,False,False,True,False,True,63,69,74
472,True,False,False,False,False,False,False,True,True,False,68,86,84
473,False,False,False,False,False,True,False,True,False,True,59,67,61
474,True,False,False,False,False,False,False,True,True,False,90,90,91
475,False,True,False,False,False,False,False,True,True,False,71,76,83
476,False,True,False,False,False,False,False,True,True,False,76,62,66
477,True,False,False,False,False,False,False,True,False,True,80,68,72
478,False,False,False,True,False,False,False,True,False,True,55,64,70
479,True,False,False,False,False,False,False,True,False,True,76,71,67
480,False,False,True,False,False,False,False,True,True,False,73,71,68
481,True,False,False,False,False,False,True,False,False,True,52,59,56
482,False,False,False,False,True,False,True,False,False,True,68,68,61
483,False,False,True,False,False,False,False,True,False,True,59,52,46
484,True,False,False,False,False,False,False,True,False,True,49,52,54
485,False,False,True,False,False,False,False,True,False,True,70,74,71
486,False,False,False,False,True,False,True,False,False,True,61,47,56
487,True,False,False,False,False,False,True,False,False,True,60,75,74
488,False,False,False,False,False,True,False,True,True,False,64,53,57
489,True,False,False,False,False,False,True,False,True,False,79,82,82
490,True,False,False,False,False,False,True,False,False,True,65,85,76
491,True,False,False,False,False,False,False,True,False,True,64,64,70
